left_out_patient,method,spearman
P1,direct_melanoma_delta,0.05691762660709389
P1,manual_features,0.08658594346711858
P1,geneformer_static_pca32,0.14640579142135002
P1,scgpt_static_pca32,0.07113568542355132
P1,geneformer_random_pca32,0.004181565200399543
P1,scgpt_random_pca32,0.009235533714374765
P1,manual_plus_geneformer_pca32,0.1407457857874075
P1,manual_plus_scgpt_pca32,0.06175224810968934
P10,direct_melanoma_delta,0.023093060809000202
P10,manual_features,0.06854300247476022
P10,geneformer_static_pca32,0.12104053301079634
P10,scgpt_static_pca32,0.04263780385235689
P10,geneformer_random_pca32,0.00012754269289145856
P10,scgpt_random_pca32,0.004958428854179161
P10,manual_plus_geneformer_pca32,0.11691298564460668
P10,manual_plus_scgpt_pca32,0.03345158512148416
P13,direct_melanoma_delta,0.09296552793425261
P13,manual_features,0.1144728104117656
P13,geneformer_static_pca32,0.15690678803554625
P13,scgpt_static_pca32,0.08576171703221236
P13,geneformer_random_pca32,0.0023484129663024467
P13,scgpt_random_pca32,0.004078296619503439
P13,manual_plus_geneformer_pca32,0.15590125036094982
P13,manual_plus_scgpt_pca32,0.08007342859961522
P19,direct_melanoma_delta,0.07391650616145685
P19,manual_features,0.11618873459066965
P19,geneformer_static_pca32,0.13183854852692625
P19,scgpt_static_pca32,0.06576320721409398
P19,geneformer_random_pca32,0.0019179087146294883
P19,scgpt_random_pca32,0.009307370330808938
P19,manual_plus_geneformer_pca32,0.13302314707851845
P19,manual_plus_scgpt_pca32,0.06134344678796363
P29,direct_melanoma_delta,0.09640862217534962
P29,manual_features,0.09431017736203864
P29,geneformer_static_pca32,0.1634696850902649
P29,scgpt_static_pca32,0.0951652185479946
P29,geneformer_random_pca32,0.0022718965685043046
P29,scgpt_random_pca32,0.01005639422531138
P29,manual_plus_geneformer_pca32,0.15854402631284858
P29,manual_plus_scgpt_pca32,0.087173236191842
P30,direct_melanoma_delta,0.05147853039394516
P30,manual_features,0.10023291108515996
P30,geneformer_static_pca32,0.14987755931621033
P30,scgpt_static_pca32,0.06933261626020668
P30,geneformer_random_pca32,0.0021581720416845116
P30,scgpt_random_pca32,0.005254768968473316
P30,manual_plus_geneformer_pca32,0.14684443714454054
P30,manual_plus_scgpt_pca32,0.06184477903557166
P33,direct_melanoma_delta,0.03829827050885401
P33,manual_features,0.08637271749030967
P33,geneformer_static_pca32,0.13073247322650872
P33,scgpt_static_pca32,0.04822131033494229
P33,geneformer_random_pca32,0.0007997048048023649
P33,scgpt_random_pca32,0.00451038821608713
P33,manual_plus_geneformer_pca32,0.12774223501193777
P33,manual_plus_scgpt_pca32,0.04032395533516225
P35,direct_melanoma_delta,0.04413927408643478
P35,manual_features,0.07789539629967732
P35,geneformer_static_pca32,0.14399106181611324
P35,scgpt_static_pca32,0.06660831886004338
P35,geneformer_random_pca32,0.0030192970216529847
P35,scgpt_random_pca32,0.004146534010029797
P35,manual_plus_geneformer_pca32,0.13754515329216038
P35,manual_plus_scgpt_pca32,0.05658975505763236
P36,direct_melanoma_delta,0.09919569747075563
P36,manual_features,0.1144336490235249
P36,geneformer_static_pca32,0.16369509558306783
P36,scgpt_static_pca32,0.09430645231290392
P36,geneformer_random_pca32,0.0007183500723934169
P36,scgpt_random_pca32,0.005776692934433982
P36,manual_plus_geneformer_pca32,0.16195830851852178
P36,manual_plus_scgpt_pca32,0.08782736445167558
P37,direct_melanoma_delta,0.05117007541071312
P37,manual_features,0.09450473883999709
P37,geneformer_static_pca32,0.13849169007269074
P37,scgpt_static_pca32,0.06708328597190893
P37,geneformer_random_pca32,0.0006764967696978929
P37,scgpt_random_pca32,0.0025793913830033308
P37,manual_plus_geneformer_pca32,0.13606344668014814
P37,manual_plus_scgpt_pca32,0.061162854000444945
P38,direct_melanoma_delta,0.028254099550539365
P38,manual_features,0.04991368761033854
P38,geneformer_static_pca32,0.11696614581606815
P38,scgpt_static_pca32,0.05998661486195834
P38,geneformer_random_pca32,-0.006592115509960953
P38,scgpt_random_pca32,0.008027764364800578
P38,manual_plus_geneformer_pca32,0.11051810075800955
P38,manual_plus_scgpt_pca32,0.04984548708745242
