gene_symbol,melanoma_post_delta,nsclc_post_delta,pred_direct_melanoma_delta,pred_manual_features,pred_geneformer_static_pca32,pred_scgpt_static_pca32,pred_geneformer_random_pca32,pred_scgpt_random_pca32,pred_manual_plus_geneformer_pca32,pred_manual_plus_scgpt_pca32,mean_tpm,fraction_positive_g120,baseline_responder_vs_nonresponder_log2_delta,post_responder_vs_nonresponder_log2_delta,n_cells_g120,n_patient_states,n_baseline_responder_states,n_baseline_nonresponder_states,mean_raw_count_per_cell,fraction_positive_g115,post_vs_naive_sample_logcpm_delta,cell_type_specificity_max_fraction,dominant_cell_type,n_cells_g115,n_samples,n_post_samples,n_naive_samples,nsclc_post_responder_vs_nonresponder_log2cpm_delta,nsclc_post_mean_log2cpm,nsclc_post_lesion_fraction_positive,nsclc_n_responder_lesions,nsclc_n_nonresponder_lesions,response_direction_concordant,response_transfer_score
SPP1,-0.5094727965289293,-2.852422675657248,-0.5094727965289293,-0.06495598,-0.16897352,-0.15631989,-0.085899554,-0.08217933,-0.11846718,-0.12031074,0.455644835403381,0.0473881284144619,-0.4664460933288318,-0.5094727965289293,16291,48,9,10,348.88575006957973,0.1877261341497356,-1.6881068814677835,0.910682336790596,Macrophage,7186,33,17,16,-2.852422675657248,3.161510594091268,1.0,8,5,True,1.2055006252381744
FCGR3A,-0.6531535138280141,-1.854417797825075,-0.6531535138280141,-0.058330942,-0.20774132,-0.32521337,-0.095606685,-0.08141569,-0.16910248,-0.30197805,1.087040697719341,0.1304401203118286,-0.8410536574117801,-0.6531535138280141,16291,48,9,10,124.7777623156137,0.104926245477317,-0.0072028317578531,0.7004911654641065,Macrophage,7186,33,17,16,-1.854417797825075,5.079325575701366,1.0,8,5,True,1.1005541789274418
CXCL2,-0.4965363639227494,-2.317773165492631,-0.4965363639227494,-0.056137938,-0.19128302,-0.12583053,-0.08386899,-0.08509396,-0.16437554,-0.109401554,0.368294764973498,0.0434595789085998,-0.544120216547128,-0.4965363639227494,16291,48,9,10,7.990258836626774,0.0361814639576955,-0.1953780213533551,0.4910999168165025,Macrophage,7186,33,17,16,-2.317773165492631,2.596608356964834,1.0,8,5,True,1.0727808070577287
IL1B,-0.4407612604386871,-2.2699077957829648,-0.4407612604386871,-0.042752154,-0.18893275,-0.21585852,-0.088550754,-0.08611899,-0.15970513,-0.19058722,0.4870228959588991,0.0578847216254373,-0.5522147142243878,-0.4407612604386871,16291,48,9,10,28.82104091288617,0.0364597829112162,-0.0882072500028856,0.7958878753725752,Macrophage,7186,33,17,16,-2.2699077957829648,2.033057346378666,0.9230769230769231,8,5,True,1.000243680884264
S100A9,-0.6536876234294257,-1.416763908126227,-0.6536876234294257,-0.050341524,-0.1763821,-0.22355422,-0.085685745,-0.08213552,-0.1435769,-0.19947347,0.6618194090610973,0.0739672211650604,-0.4981900861022424,-0.6536876234294257,16291,48,9,10,17.859170609518507,0.0743111605900361,0.0659267917271355,0.6961581895447545,Macrophage,7186,33,17,16,-1.416763908126227,3.2832976944525543,1.0,8,5,True,0.9623518234323758
IL1RN,-0.5209906719300159,-1.559957223149805,-0.5209906719300159,-0.035298157,-0.14754915,-0.21221675,-0.08184006,-0.083709545,-0.12669641,-0.19809046,0.4925240927195946,0.0623043398195322,-0.6558034488054296,-0.5209906719300159,16291,48,9,10,22.720985249095463,0.0431394377957138,0.2485205970040502,0.7401470728215107,Macrophage,7186,33,17,16,-1.559957223149805,1.7932572629613515,1.0,8,5,True,0.9015115983008198
SERPINA1,-0.6775518287253411,-1.170010981768768,-0.6775518287253411,-0.042353682,-0.20021532,-0.21043764,-0.08325874,-0.08239632,-0.15728858,-0.18929645,0.754447854788701,0.0895586520164508,-0.6187522585498891,-0.6775518287253411,16291,48,9,10,60.87266907876426,0.1277483996660172,0.1479342032439405,0.927318729572026,Macrophage,7186,33,17,16,-1.170010981768768,3.0056171174822484,1.0,8,5,True,0.8903612077837627
ITGAM,-0.453990424613596,-1.712521523606171,-0.453990424613596,-0.06545941,-0.12973337,-0.2417191,-0.08810964,-0.07889351,-0.10945809,-0.22626585,0.6305199191545915,0.1001780123994843,-0.4197959464957617,-0.453990424613596,16291,48,9,10,10.407319788477595,0.0725020873921514,-0.0031202422673799,0.5544309993379684,Macrophage,7186,33,17,16,-1.712521523606171,2.498931913481973,1.0,8,5,True,0.8817416705939943
ITGAX,-0.4994343992437978,-1.5513015219705515,-0.4994343992437978,-0.08474273,-0.16176975,-0.16338143,-0.08305453,-0.076190814,-0.1492637,-0.16286762,1.0816782273520906,0.1801608249953962,-0.6071855958299549,-0.4994343992437978,16291,48,9,10,27.941970498190926,0.3328694684107988,0.4442455375817546,0.736308924065317,Macrophage,7186,33,17,16,-1.5513015219705515,2.230712814996787,1.0,8,5,True,0.8802121015251674
CD38,-0.6757221854610616,-1.1431100954212097,-0.6757221854610616,-0.1512514,-0.15368617,-0.12362919,-0.088163614,-0.093005195,-0.15496862,-0.12861767,2.397706708342768,0.3321465840034375,-0.8272348599000026,-0.6757221854610616,16291,48,9,10,30.5758419148344,0.2126356804898413,-0.0298770031729813,0.3314127961718654,Macrophage,7186,33,17,16,-1.1431100954212097,5.430759429223934,1.0,8,5,True,0.8788770402625287
